start...
Finetuning mode
Load outputs/2023-08-31-14-55-19/trained_model/best_weight.pt...
Epoch: 1 / 1000, Score: -500,  block: 20,  Reward: -7.3110 Cleared lines: 0, col: 0/0/0/0 
Epoch: 2 / 1000, Score: -500,  block: 25,  Reward: -8.3206 Cleared lines: 0, col: 0/0/0/0 
Epoch: 3 / 1000, Score: -500,  block: 21,  Reward: -8.0987 Cleared lines: 0, col: 0/0/0/0 
Epoch: 4 / 1000, Score: -500,  block: 20,  Reward: -6.6027 Cleared lines: 0, col: 0/0/0/0 
Epoch: 5 / 1000, Score: -500,  block: 19,  Reward: -6.2502 Cleared lines: 0, col: 0/0/0/0 
Epoch: 6 / 1000, Score: -500,  block: 25,  Reward: -8.9386 Cleared lines: 0, col: 0/0/0/0 
Epoch: 7 / 1000, Score: -500,  block: 24,  Reward: -8.0934 Cleared lines: 0, col: 0/0/0/0 
Epoch: 8 / 1000, Score: -500,  block: 24,  Reward: -6.1444 Cleared lines: 0, col: 0/0/0/0 
Epoch: 9 / 1000, Score: -500,  block: 23,  Reward: -6.4237 Cleared lines: 0, col: 0/0/0/0 
Epoch: 10 / 1000, Score: -500,  block: 23,  Reward: -8.1205 Cleared lines: 0, col: 0/0/0/0 
Epoch: 11 / 1000, Score: -500,  block: 19,  Reward: -5.5395 Cleared lines: 0, col: 0/0/0/0 
Epoch: 12 / 1000, Score: -500,  block: 19,  Reward: -7.4907 Cleared lines: 0, col: 0/0/0/0 
Epoch: 13 / 1000, Score: -500,  block: 20,  Reward: -7.4410 Cleared lines: 0, col: 0/0/0/0 
Epoch: 14 / 1000, Score: -500,  block: 24,  Reward: -6.3042 Cleared lines: 0, col: 0/0/0/0 
Epoch: 15 / 1000, Score: -500,  block: 21,  Reward: -5.5354 Cleared lines: 0, col: 0/0/0/0 
Epoch: 16 / 1000, Score: -500,  block: 21,  Reward: -6.5720 Cleared lines: 0, col: 0/0/0/0 
Epoch: 17 / 1000, Score: -500,  block: 22,  Reward: -8.7686 Cleared lines: 0, col: 0/0/0/0 
Epoch: 18 / 1000, Score: -500,  block: 27,  Reward: -11.5433 Cleared lines: 0, col: 0/0/0/0 
Epoch: 19 / 1000, Score: -500,  block: 21,  Reward: -6.5146 Cleared lines: 0, col: 0/0/0/0 
Epoch: 20 / 1000, Score: -500,  block: 17,  Reward: -5.7885 Cleared lines: 0, col: 0/0/0/0 
Epoch: 21 / 1000, Score: -500,  block: 22,  Reward: -6.4496 Cleared lines: 0, col: 0/0/0/0 
Epoch: 22 / 1000, Score: -500,  block: 25,  Reward: -7.7266 Cleared lines: 0, col: 0/0/0/0 
Epoch: 23 / 1000, Score: -500,  block: 18,  Reward: -5.2535 Cleared lines: 0, col: 0/0/0/0 
Epoch: 24 / 1000, Score: -500,  block: 21,  Reward: -5.9929 Cleared lines: 0, col: 0/0/0/0 
Epoch: 25 / 1000, Score: -500,  block: 26,  Reward: -8.1104 Cleared lines: 0, col: 0/0/0/0 
Epoch: 26 / 1000, Score: -500,  block: 27,  Reward: -8.2890 Cleared lines: 0, col: 0/0/0/0 
Epoch: 27 / 1000, Score: -500,  block: 20,  Reward: -7.7069 Cleared lines: 0, col: 0/0/0/0 
Epoch: 28 / 1000, Score: -500,  block: 21,  Reward: -5.1395 Cleared lines: 0, col: 0/0/0/0 
Epoch: 29 / 1000, Score: -500,  block: 24,  Reward: -7.5233 Cleared lines: 0, col: 0/0/0/0 
Epoch: 30 / 1000, Score: -500,  block: 18,  Reward: -3.8327 Cleared lines: 0, col: 0/0/0/0 
Epoch: 31 / 1000, Score: -500,  block: 22,  Reward: -8.0266 Cleared lines: 0, col: 0/0/0/0 
Epoch: 32 / 1000, Score: -500,  block: 23,  Reward: -6.4664 Cleared lines: 0, col: 0/0/0/0 
Epoch: 33 / 1000, Score: -500,  block: 20,  Reward: -7.6442 Cleared lines: 0, col: 0/0/0/0 
Epoch: 34 / 1000, Score: -500,  block: 17,  Reward: -5.5471 Cleared lines: 0, col: 0/0/0/0 
Epoch: 35 / 1000, Score: -500,  block: 22,  Reward: -5.8260 Cleared lines: 0, col: 0/0/0/0 
Epoch: 36 / 1000, Score: -500,  block: 31,  Reward: -9.6107 Cleared lines: 0, col: 0/0/0/0 
Epoch: 37 / 1000, Score: -500,  block: 12,  Reward: -3.9130 Cleared lines: 0, col: 0/0/0/0 
Epoch: 38 / 1000, Score: -500,  block: 24,  Reward: -6.8953 Cleared lines: 0, col: 0/0/0/0 
Epoch: 39 / 1000, Score: -500,  block: 31,  Reward: -9.2517 Cleared lines: 0, col: 0/0/0/0 
Epoch: 40 / 1000, Score: -500,  block: 26,  Reward: -9.7064 Cleared lines: 0, col: 0/0/0/0 
Epoch: 41 / 1000, Score: -500,  block: 17,  Reward: -5.1404 Cleared lines: 0, col: 0/0/0/0 
Epoch: 42 / 1000, Score: -500,  block: 24,  Reward: -7.3382 Cleared lines: 0, col: 0/0/0/0 
Epoch: 43 / 1000, Score: -500,  block: 20,  Reward: -7.5814 Cleared lines: 0, col: 0/0/0/0 
Epoch: 44 / 1000, Score: -500,  block: 22,  Reward: -8.4139 Cleared lines: 0, col: 0/0/0/0 
Epoch: 45 / 1000, Score: -400,  block: 21,  Reward: -7.6391 Cleared lines: 1, col: 0/0/0/0 
Epoch: 46 / 1000, Score: -500,  block: 25,  Reward: -7.1385 Cleared lines: 0, col: 0/0/0/0 
Epoch: 47 / 1000, Score: -500,  block: 19,  Reward: -4.7197 Cleared lines: 0, col: 0/0/0/0 
Epoch: 48 / 1000, Score: -500,  block: 21,  Reward: -6.3868 Cleared lines: 0, col: 0/0/0/0 
Epoch: 49 / 1000, Score: -500,  block: 23,  Reward: -7.1349 Cleared lines: 0, col: 0/0/0/0 
Epoch: 50 / 1000, Score: -500,  block: 27,  Reward: -7.0954 Cleared lines: 0, col: 0/0/0/0 
Epoch: 51 / 1000, Score: -500,  block: 25,  Reward: -8.2610 Cleared lines: 0, col: 0/0/0/0 
Epoch: 52 / 1000, Score: -500,  block: 26,  Reward: -9.8481 Cleared lines: 0, col: 0/0/0/0 
Epoch: 53 / 1000, Score: -500,  block: 21,  Reward: -5.8126 Cleared lines: 0, col: 0/0/0/0 
Epoch: 54 / 1000, Score: -500,  block: 21,  Reward: -7.9293 Cleared lines: 0, col: 0/0/0/0 
Epoch: 55 / 1000, Score: -500,  block: 25,  Reward: -6.2271 Cleared lines: 0, col: 0/0/0/0 
Epoch: 56 / 1000, Score: -500,  block: 20,  Reward: -4.6202 Cleared lines: 0, col: 0/0/0/0 
Epoch: 57 / 1000, Score: -500,  block: 27,  Reward: -9.7321 Cleared lines: 0, col: 0/0/0/0 
Epoch: 58 / 1000, Score: -500,  block: 22,  Reward: -7.7358 Cleared lines: 0, col: 0/0/0/0 
Epoch: 59 / 1000, Score: -500,  block: 23,  Reward: -7.4670 Cleared lines: 0, col: 0/0/0/0 
Epoch: 60 / 1000, Score: -500,  block: 25,  Reward: -8.4343 Cleared lines: 0, col: 0/0/0/0 
Epoch: 61 / 1000, Score: -500,  block: 26,  Reward: -8.3135 Cleared lines: 0, col: 0/0/0/0 
Epoch: 62 / 1000, Score: -500,  block: 21,  Reward: -7.8245 Cleared lines: 0, col: 0/0/0/0 
Epoch: 63 / 1000, Score: -500,  block: 22,  Reward: -7.3696 Cleared lines: 0, col: 0/0/0/0 
Epoch: 64 / 1000, Score: -500,  block: 29,  Reward: -8.5359 Cleared lines: 0, col: 0/0/0/0 
Epoch: 65 / 1000, Score: -500,  block: 29,  Reward: -8.8139 Cleared lines: 0, col: 0/0/0/0 
Epoch: 66 / 1000, Score: -400,  block: 25,  Reward: -8.1916 Cleared lines: 1, col: 0/0/0/0 
Epoch: 67 / 1000, Score: -500,  block: 33,  Reward: -8.5951 Cleared lines: 0, col: 0/0/0/0 
Epoch: 68 / 1000, Score: -500,  block: 20,  Reward: -6.1408 Cleared lines: 0, col: 0/0/0/0 
Epoch: 69 / 1000, Score: -500,  block: 29,  Reward: -7.5618 Cleared lines: 0, col: 0/0/0/0 
Epoch: 70 / 1000, Score: -500,  block: 24,  Reward: -8.5312 Cleared lines: 0, col: 0/0/0/0 
Epoch: 71 / 1000, Score: -500,  block: 24,  Reward: -8.2423 Cleared lines: 0, col: 0/0/0/0 
Epoch: 72 / 1000, Score: -500,  block: 16,  Reward: -4.6157 Cleared lines: 0, col: 0/0/0/0 
Epoch: 73 / 1000, Score: -500,  block: 28,  Reward: -9.8144 Cleared lines: 0, col: 0/0/0/0 
Epoch: 74 / 1000, Score: -500,  block: 27,  Reward: -10.3380 Cleared lines: 0, col: 0/0/0/0 
Epoch: 75 / 1000, Score: -500,  block: 24,  Reward: -7.8427 Cleared lines: 0, col: 0/0/0/0 
Epoch: 76 / 1000, Score: -500,  block: 24,  Reward: -4.9070 Cleared lines: 0, col: 0/0/0/0 
Epoch: 77 / 1000, Score: -500,  block: 17,  Reward: -5.7524 Cleared lines: 0, col: 0/0/0/0 
Epoch: 78 / 1000, Score: -500,  block: 25,  Reward: -8.0769 Cleared lines: 0, col: 0/0/0/0 
Epoch: 79 / 1000, Score: -500,  block: 24,  Reward: -6.5981 Cleared lines: 0, col: 0/0/0/0 
Epoch: 80 / 1000, Score: -500,  block: 19,  Reward: -4.4431 Cleared lines: 0, col: 0/0/0/0 
Epoch: 81 / 1000, Score: -500,  block: 22,  Reward: -5.1647 Cleared lines: 0, col: 0/0/0/0 
Epoch: 82 / 1000, Score: -500,  block: 27,  Reward: -9.0845 Cleared lines: 0, col: 0/0/0/0 
Epoch: 83 / 1000, Score: -500,  block: 23,  Reward: -7.1950 Cleared lines: 0, col: 0/0/0/0 
Epoch: 84 / 1000, Score: -500,  block: 17,  Reward: -4.1980 Cleared lines: 0, col: 0/0/0/0 
Epoch: 85 / 1000, Score: -400,  block: 25,  Reward: -6.3812 Cleared lines: 1, col: 0/0/0/0 
Epoch: 86 / 1000, Score: -500,  block: 26,  Reward: -8.5159 Cleared lines: 0, col: 0/0/0/0 
Epoch: 87 / 1000, Score: -500,  block: 28,  Reward: -8.1103 Cleared lines: 0, col: 0/0/0/0 
Epoch: 88 / 1000, Score: -500,  block: 25,  Reward: -7.5372 Cleared lines: 0, col: 0/0/0/0 
Epoch: 89 / 1000, Score: -500,  block: 17,  Reward: -5.4296 Cleared lines: 0, col: 0/0/0/0 
Epoch: 90 / 1000, Score: -500,  block: 27,  Reward: -7.4980 Cleared lines: 0, col: 0/0/0/0 
Epoch: 91 / 1000, Score: -500,  block: 29,  Reward: -8.0195 Cleared lines: 0, col: 0/0/0/0 
Epoch: 92 / 1000, Score: -500,  block: 31,  Reward: -10.1521 Cleared lines: 0, col: 0/0/0/0 
Epoch: 93 / 1000, Score: -500,  block: 30,  Reward: -8.0073 Cleared lines: 0, col: 0/0/0/0 
Epoch: 94 / 1000, Score: -500,  block: 24,  Reward: -6.4608 Cleared lines: 0, col: 0/0/0/0 
Epoch: 95 / 1000, Score: -500,  block: 22,  Reward: -5.7758 Cleared lines: 0, col: 0/0/0/0 
Epoch: 96 / 1000, Score: -500,  block: 25,  Reward: -8.7801 Cleared lines: 0, col: 0/0/0/0 
Epoch: 97 / 1000, Score: -500,  block: 22,  Reward: -5.0182 Cleared lines: 0, col: 0/0/0/0 
Epoch: 98 / 1000, Score: -500,  block: 28,  Reward: -7.9968 Cleared lines: 0, col: 0/0/0/0 
Epoch: 99 / 1000, Score: -500,  block: 19,  Reward: -6.5820 Cleared lines: 0, col: 0/0/0/0 
Epoch: 100 / 1000, Score: -500,  block: 29,  Reward: -7.9172 Cleared lines: 0, col: 0/0/0/0 
Epoch: 101 / 1000, Score: -500,  block: 23,  Reward: -7.9373 Cleared lines: 0, col: 0/0/0/0 
Epoch: 102 / 1000, Score: -500,  block: 23,  Reward: -5.6037 Cleared lines: 0, col: 0/0/0/0 
Epoch: 103 / 1000, Score: -500,  block: 29,  Reward: -10.7950 Cleared lines: 0, col: 0/0/0/0 
Epoch: 104 / 1000, Score: -500,  block: 26,  Reward: -8.2707 Cleared lines: 0, col: 0/0/0/0 
Epoch: 105 / 1000, Score: -500,  block: 31,  Reward: -10.3415 Cleared lines: 0, col: 0/0/0/0 
Epoch: 106 / 1000, Score: -500,  block: 18,  Reward: -5.4707 Cleared lines: 0, col: 0/0/0/0 
Epoch: 107 / 1000, Score: -500,  block: 29,  Reward: -8.1215 Cleared lines: 0, col: 0/0/0/0 
Epoch: 108 / 1000, Score: -500,  block: 24,  Reward: -6.4473 Cleared lines: 0, col: 0/0/0/0 
Epoch: 109 / 1000, Score: -500,  block: 25,  Reward: -9.4101 Cleared lines: 0, col: 0/0/0/0 
Epoch: 110 / 1000, Score: -400,  block: 35,  Reward: -9.1084 Cleared lines: 1, col: 0/0/0/0 
Epoch: 111 / 1000, Score: -500,  block: 18,  Reward: -7.6564 Cleared lines: 0, col: 0/0/0/0 
Epoch: 112 / 1000, Score: -500,  block: 22,  Reward: -5.7337 Cleared lines: 0, col: 0/0/0/0 
Epoch: 113 / 1000, Score: -500,  block: 25,  Reward: -5.6045 Cleared lines: 0, col: 0/0/0/0 
Epoch: 114 / 1000, Score: -500,  block: 19,  Reward: -6.6906 Cleared lines: 0, col: 0/0/0/0 
Epoch: 115 / 1000, Score: -500,  block: 28,  Reward: -6.7012 Cleared lines: 0, col: 0/0/0/0 
Epoch: 116 / 1000, Score: -500,  block: 28,  Reward: -9.4286 Cleared lines: 0, col: 0/0/0/0 
Epoch: 117 / 1000, Score: -500,  block: 26,  Reward: -7.9589 Cleared lines: 0, col: 0/0/0/0 
Epoch: 118 / 1000, Score: -500,  block: 33,  Reward: -8.2193 Cleared lines: 0, col: 0/0/0/0 
Epoch: 119 / 1000, Score: -500,  block: 25,  Reward: -8.4098 Cleared lines: 0, col: 0/0/0/0 
Epoch: 120 / 1000, Score: -400,  block: 32,  Reward: -8.1026 Cleared lines: 1, col: 0/0/0/0 
Epoch: 121 / 1000, Score: -500,  block: 17,  Reward: -5.4459 Cleared lines: 0, col: 0/0/0/0 
Epoch: 122 / 1000, Score: -500,  block: 24,  Reward: -6.3127 Cleared lines: 0, col: 0/0/0/0 
Epoch: 123 / 1000, Score: -500,  block: 28,  Reward: -10.5932 Cleared lines: 0, col: 0/0/0/0 
Epoch: 124 / 1000, Score: -400,  block: 38,  Reward: -9.0096 Cleared lines: 1, col: 0/0/0/0 
Epoch: 125 / 1000, Score: -400,  block: 28,  Reward: -7.8700 Cleared lines: 1, col: 0/0/0/0 
Epoch: 126 / 1000, Score: -500,  block: 25,  Reward: -8.1690 Cleared lines: 0, col: 0/0/0/0 
Epoch: 127 / 1000, Score: -400,  block: 32,  Reward: -9.4187 Cleared lines: 1, col: 0/0/0/0 
Epoch: 128 / 1000, Score: -500,  block: 28,  Reward: -8.5309 Cleared lines: 0, col: 0/0/0/0 
Epoch: 129 / 1000, Score: -500,  block: 26,  Reward: -5.8390 Cleared lines: 0, col: 0/0/0/0 
Epoch: 130 / 1000, Score: -500,  block: 26,  Reward: -6.9243 Cleared lines: 0, col: 0/0/0/0 
Epoch: 131 / 1000, Score: -500,  block: 29,  Reward: -9.5429 Cleared lines: 0, col: 0/0/0/0 
Epoch: 132 / 1000, Score: -500,  block: 24,  Reward: -5.6339 Cleared lines: 0, col: 0/0/0/0 
Epoch: 133 / 1000, Score: -500,  block: 33,  Reward: -9.8086 Cleared lines: 0, col: 0/0/0/0 
Epoch: 134 / 1000, Score: -500,  block: 34,  Reward: -11.2700 Cleared lines: 0, col: 0/0/0/0 
Epoch: 135 / 1000, Score: -500,  block: 27,  Reward: -8.6516 Cleared lines: 0, col: 0/0/0/0 
Epoch: 136 / 1000, Score: -500,  block: 23,  Reward: -7.0170 Cleared lines: 0, col: 0/0/0/0 
Epoch: 137 / 1000, Score: -500,  block: 27,  Reward: -7.9171 Cleared lines: 0, col: 0/0/0/0 
Epoch: 138 / 1000, Score: -500,  block: 32,  Reward: -9.0626 Cleared lines: 0, col: 0/0/0/0 
Epoch: 139 / 1000, Score: -500,  block: 29,  Reward: -6.5407 Cleared lines: 0, col: 0/0/0/0 
Epoch: 140 / 1000, Score: -500,  block: 22,  Reward: -4.9886 Cleared lines: 0, col: 0/0/0/0 
Epoch: 141 / 1000, Score: -500,  block: 33,  Reward: -8.9426 Cleared lines: 0, col: 0/0/0/0 
Epoch: 142 / 1000, Score: -500,  block: 23,  Reward: -6.6317 Cleared lines: 0, col: 0/0/0/0 
Epoch: 143 / 1000, Score: -500,  block: 21,  Reward: -6.3054 Cleared lines: 0, col: 0/0/0/0 
Epoch: 144 / 1000, Score: -500,  block: 29,  Reward: -8.0022 Cleared lines: 0, col: 0/0/0/0 
