start...
Finetuning mode
Load outputs/latest/best_weight.pt...
Epoch: 1 / 100, Score: 13700,  block: 301,  Reward: 4.8636 Cleared lines: 114, col: 0/0/0/0 
Epoch: 2 / 100, Score: 12500,  block: 301,  Reward: -36.9302 Cleared lines: 109, col: 0/0/0/0 
Epoch: 3 / 100, Score: 13700,  block: 301,  Reward: 9.2468 Cleared lines: 118, col: 0/0/0/0 
Epoch: 4 / 100, Score: 13800,  block: 301,  Reward: 5.2817 Cleared lines: 112, col: 0/0/0/0 
Epoch: 5 / 100, Score: 14100,  block: 301,  Reward: -27.4301 Cleared lines: 111, col: 0/0/0/0 
Epoch: 6 / 100, Score: 13200,  block: 301,  Reward: 0.7521 Cleared lines: 112, col: 0/0/0/0 
Epoch: 7 / 100, Score: 13900,  block: 301,  Reward: 1.4378 Cleared lines: 117, col: 0/0/0/0 
Epoch: 8 / 100, Score: 14700,  block: 301,  Reward: 10.2491 Cleared lines: 119, col: 0/0/0/0 
Epoch: 9 / 100, Score: 14000,  block: 301,  Reward: 8.6242 Cleared lines: 117, col: 0/0/0/0 
Epoch: 10 / 100, Score: 13000,  block: 301,  Reward: -2.3580 Cleared lines: 114, col: 0/0/0/0 
Epoch: 11 / 100, Score: 14600,  block: 301,  Reward: 6.8335 Cleared lines: 115, col: 0/0/0/0 
Epoch: 12 / 100, Score: 13900,  block: 301,  Reward: 4.5706 Cleared lines: 118, col: 0/0/0/0 
Epoch: 13 / 100, Score: 13500,  block: 301,  Reward: 7.5822 Cleared lines: 116, col: 0/0/0/0 
Epoch: 14 / 100, Score: 12300,  block: 301,  Reward: -1.6415 Cleared lines: 114, col: 0/0/0/0 
Epoch: 15 / 100, Score: 14100,  block: 301,  Reward: 9.0474 Cleared lines: 118, col: 0/0/0/0 
Epoch: 16 / 100, Score: 14300,  block: 301,  Reward: 11.7534 Cleared lines: 119, col: 0/0/0/0 
Epoch: 17 / 100, Score: 13900,  block: 301,  Reward: 5.0027 Cleared lines: 119, col: 0/0/0/0 
Epoch: 18 / 100, Score: 14100,  block: 301,  Reward: 1.5072 Cleared lines: 117, col: 0/0/0/0 
Epoch: 19 / 100, Score: 14800,  block: 301,  Reward: 9.1459 Cleared lines: 116, col: 0/0/0/0 
Epoch: 20 / 100, Score: 14000,  block: 301,  Reward: 8.0311 Cleared lines: 118, col: 0/0/0/0 
